"endpoint","path","backend","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141601_901.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141601_901.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","2","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141602_167.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141602_167.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141602_387.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141602_387.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141602_590.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141602_590.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141602_793.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run1__20260204_141602_793.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141603_027.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-default____run2__20260204_141603_027.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141603_231.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141603_231.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","default","2","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141603_481.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141603_481.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","chrome","1","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141603_697.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141603_697.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","chrome","2","=chrome",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141603_914.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141603_914.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","weasyprint","1","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141604_111.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run1__20260204_141604_111.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent","/v1/declaration-of-intent","weasyprint","2","=weasyprint",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141604_312.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent____run2__20260204_141604_312.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","default","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia",,,,"0","","False","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_528.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_141601\declaration-of-intent-australia____run1__20260204_141604_528.headers.txt","curl: (3) unmatched close brace/bracket in URL position 369:"
