"endpoint","path","backend","request_id_mode","request_id_sent","response_request_id","response_content_type","run","url","http_code","time_total","size_download","file_size","sha256","is_pdf","out_file","headers_file","error"
"declaration-of-intent-default","/v1/declaration-of-intent-default","default","auto","","60d0d9edc242f749ec6faf995a0f9008","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default","200","1,671766","24149","24149","9f1d76cebb90213ec146f386f850e186f386d6f6a30b8ee47928d182a67eb153","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__default__auto__run1__20260204_151019_697.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__default__auto__run1__20260204_151019_697.headers.txt",""
"declaration-of-intent-default","/v1/declaration-of-intent-default","chrome","auto","","cd5604f3ee4b58b44613dcf06a7e1966","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default?backend=chrome","200","2,846482","62431","62431","21bac1078aa3f6a5f670a3bccbe16ddf3514d8b4fe863227be809f81c5161746","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__chrome__auto__run1__20260204_151021_830.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__chrome__auto__run1__20260204_151021_830.headers.txt",""
"declaration-of-intent-default","/v1/declaration-of-intent-default","weasyprint","auto","","8f955c59baaf3f5490d0d75501ca3faf","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-default?backend=weasyprint","200","1,900503","24150","24150","5bebf3b458df46fb92c3a6f791d034181c5673ee7ab7c50eaca56fc70de38d72","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__weasyprint__auto__run1__20260204_151024_962.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-default__weasyprint__auto__run1__20260204_151024_962.headers.txt",""
"declaration-of-intent","/v1/declaration-of-intent","default","auto","","e3f5f5fb2737a3523256ff2eee67962a","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent","200","1,715562","24162","24162","74b8f50e22eed888a09a673cd2c729a6339fc085716c4998f00a7979196246df","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__default__auto__run1__20260204_151027_127.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__default__auto__run1__20260204_151027_127.headers.txt",""
"declaration-of-intent","/v1/declaration-of-intent","chrome","auto","","d19c9b75d94bd16a534887da0ea938ca","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent?backend=chrome","200","2,942191","62434","62434","a746f5bc07ec7a05827ca7d1b9e7009c1fcdf42e227e00a3d350d0984ce06155","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__chrome__auto__run1__20260204_151029_115.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__chrome__auto__run1__20260204_151029_115.headers.txt",""
"declaration-of-intent","/v1/declaration-of-intent","weasyprint","auto","","5c3fc61da419da276fb3df420c4d0f67","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent?backend=weasyprint","200","1,762346","24162","24162","6abc3be75a0856e52f557cd9083139b5835e1a83a7753c9cc8f561009534ae95","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__weasyprint__auto__run1__20260204_151032_316.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent__weasyprint__auto__run1__20260204_151032_316.headers.txt",""
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","default","auto","","d41c8f60fdc7531ac2cd2d9c6d61c13e","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia","200","1,932364","28197","28197","b8d845f02a966b4c56208af54934dc1db2d1bc2e265cddac59e4e90ef57e8702","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__default__auto__run1__20260204_151034_318.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__default__auto__run1__20260204_151034_318.headers.txt",""
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","chrome","auto","","8fd9dcc884d57df6cd2b3cea9227288d","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia?backend=chrome","200","2,945239","105318","105318","efefc59997e733578324a980b97e87175675e59b68610840d42f1a7ba9fec8c3","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__chrome__auto__run1__20260204_151036_520.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__chrome__auto__run1__20260204_151036_520.headers.txt",""
"declaration-of-intent-australia","/v1/declaration-of-intent-australia","weasyprint","auto","","4b47b478d7222569aac7d701f7a58dba","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/declaration-of-intent-australia?backend=weasyprint","200","1,915026","28197","28197","fc66353864902f7a90d9de024efe835cc99651cf079e0504b820fc4df3cf05e9","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__weasyprint__auto__run1__20260204_151039_745.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\declaration-of-intent-australia__weasyprint__auto__run1__20260204_151039_745.headers.txt",""
"account-statement-v1","/v1/account-statement","default","auto","","61247b4514a1d45c5434a8d5625e7337","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/account-statement","200","1,609743","14268","14268","20c6634fef0dfff0dd373717749121440316cf6fa965addb1bf6532282a90919","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1__default__auto__run1__20260204_151041_930.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1__default__auto__run1__20260204_151041_930.headers.txt",""
"account-statement-v1","/v1/account-statement","chrome","auto","","49b9dfef6417f734b18c56b452b8d625","application/pdf","1","https://pdf-generator.dev.lunupay.com/v1/account-statement?backend=chrome","200","2,310363","26283","26283","5cd3d29b718234f6c4894a676b5ccc03ae5e284ff8867a3491a2af381a1eec71","True","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1__chrome__auto__run1__20260204_151043_794.bin","D:\trading\landing2\CryptoInsightX1\CryptoInsightX\pdf_backend_check_20260204_151013\account-statement-v1__chrome__auto__run1__20260204_151043_794.headers.txt",""
